Make,Model,Type,Origin,DriveTrain,Invoice,EngineSize,Cylinders,Horsepower,KPL_City,KPL_Highway,Weight,Wheelbase,Length,,
GMC,Sierra,truck,USA,all,9590,6162,8,426,5.9,7.8,2575,3745,5890,,
Ram,Ram-1200,truck,USA,all,4320,2378,4,207,10.1,12.1,2045,3180,5330,,
Ram,Ram-1500,truck,USA,all,6820,2998,6,260,14,17,2200,3570,5820,,
Volvo,XC90,suv,Asia,all,9650,1969,4,300,8.4,11.3,2145,2984,4955,,
Volvo,S90,sedan,Asia,all,7400,1969,4,300,9.5,13.5,1940,3060,5090,,
Volvo,V90,suv,Asia,all,7820,1969,4,250,9.7,13,1910,2941,4960,,
Volvo,XC60,suv,Asia,all,7400,1969,4,300,8.8,11.5,1935,2865,4710,,
Volvo,XC40,suv,Asia,all,5460,1969,4,197,9.2,12.2,1745,2702,4440,,
Volvo,S60,sedan,Asia,front,5690,1969,4,250,10.5,14.3,1715,2872,4780,,
Mini,Countryman,suv,EU,front,4950,1499,3,136,10.5,13.2,1540,2670,4295,,
Mini,Clubman,suv,EU,front,4700,1499,3,136,10.4,13.3,1480,2670,4266,,
Mini,Hatchback,hatchback,EU,front,4810,1998,4,204,11.3,15.1,1355,2495,3875,,
Mini,Convertible JCW,sedan,EU,front,5930,1998,4,231,10,13.5,1405,2495,3870,,
Bently,Continental GT,sedan,EU,all,39560,3996,8,550,6.5,8.8,2295,2851,4850,,
Bently,Flying spur,sedan,EU,all,44190,3996,8,591,9,13,2646,3194,5316,,
Bently,Bentayga,suv,EU,all,30800,3996,8,550,6,7.8,2530,2995,5144,,
Pagani,Zonda,sports,EU,rear,2000000,7291,12,760,5,7,1250,2600,4420,,
Pagani,Huayra,sports,EU,rear,400000,5980,12,730,7,11,1350,2700,4605,,
Pagani,Imola,sports,EU,rear,670000,5980,12,827,5,7,1246,2720,4728,,
Pagani,Utopia,sports,EU,rear,3500000,5980,12,852,5,7,1550,2720,4750,,
Mclaren,750s,sports,EU,rear,450000,3994,8,750,9,11,1400,2670,4370,,
Mclaren,Sena,hyper,EU,rear,1300000,3994,8,800,6,7,1198,2670,4619,,
Mclaren,P1,hyper,EU,rear,1500000,3799,8,903,9,11,1490,2640,4530,,
Mclaren,GTS,sports,EU,rear,280000,3994,8,620,10,12,1530,2670,4670,,
Mclaren,W1,hybrid,EU,rear,305267,3988,8,916,11,13,1399,2680,4635,,
Porsche,Macan,suv,EU,all,10780,2894,6,375,7,9,1965,2805,4725,,
Porsche,Panamera,sedan,EU,all,16830,2894,6,336,7.1,9.6,1980,2950,5049,,
Porsche,Cayene,suv,EU,all,13980,2995,6,355,6.7,8.7,2195,2895,4930,,
Porsche,911 GT3,sports,EU,rear,25160,3996,6,503,5.9,7.3,1475,2450,4575,,
Porsche,Boxter,sports,EU,rear,10130,2497,6,350,8,10.7,1440,2475,4379,,
Porsche,Targa,sports,EU,all,18960,2981,6,458,7.8,8.5,1670,2450,4520,,
Porsche,Caymam,sports,EU,rear,13050,3995,6,407,7.5,9.7,1465,2475,4405,,
Bugatti,Tourbillon,hybrid,EU,all,566216,8300,16,1775,4.6,6,1995,2740,4671,,
Bugatti,Bolide,hyper,EU,all,530000,7993,16,1578,4.6,6,1450,2750,4756,,
Lamborghini,Huracan,sports,EU,rear,34000,5204,10,640,5.8,7.8,1379,2620,4311,,
Lamborghini,Urus,suv,EU,all,32890,3996,8,666,5.4,7.8,2150,3006,5137,,
Lamborghini,SVJ,hyper,EU,all,60000,6498,12,770,5,7,1525,2700,4937,,
Jeep,Wrangler,suv,USA,all,8005,1995,4,272,7.5,8.2,2102,3010,4840,,
Jeep,Gladiator,truck,USA,all,7990,3604,6,284,6.1,7.2,2305,3490,5600,,
Jeep,Renegade,suv,USA,front,4675,1332,4,171,9.2,12.3,1470,2570,4255,,
Jeep,Grand cherokee,hybrid,USA,all,10135,1995,4,272,8.2,9.7,2515,2965,4905,,
LandRover,Rangerover-phev,suv,EU,all,23900,2997,6,550,8.2,9.5,3025,2997,5052,,
LandRover,Defender,suv,EU,all,12467,2997,6,300,9.5,11.2,2510,3022,4758,,
Chevrolet,Colorado,truck,USA,all,7279,2726,4,314,7.5,9.1,2150,3337,5410,,
Chevrolet,Trailblazer,suv,USA,front,3069,1341,3,156,11.4,13.3,1350,2640,4425,,
Chevrolet,Traverse,suv,USA,all,6127,3564,6,310,7.1,10.3,2090,3073,5230,,
Chevrolet,Corvette,hyper,USA,rear,9500,5499,8,1064,6,8,1665,2723,4722,,
Chevrolet,Spark,mini,USA,front,1232,999,3,75,14.3,16,910,2385,3595,,
AstonMartin,DB11,sports,EU,rear,28000,3982,8,535,7,10,1870,2805,4750,,
AstonMartin,DBX707,suv,EU,all,31700,3982,8,697,5,7,2245,3060,5040,,
